DUR,CENS,AGE,ED,WHITE,LOCRAT
438,1,20,12,0,4
406,0,25,14,0,5
1134,0,22,12,1,3
436,1,21,10,0,3
1076,1,20,12,0,2
1030,1,21,12,1,6
7,1,29,18,1,2
112,0,33,12,1,2
99,1,27,14,1,2
64,1,20,8,1,6
1249,1,19,12,0,2
301,0,21,12,1,6
133,0,18,8,1,3
686,0,21,12,1,3
301,0,20,12,0,3
294,0,17,8,1,4
35,0,23,12,1,4
623,0,23,9,0,4
7,1,20,8,1,6
70,0,19,12,1,5
168,1,26,16,0,3
532,0,22,14,0,3
1233,1,20,12,1,3
70,0,19,9,1,3
189,0,30,16,1,2
32,1,19,8,1,3
686,0,21,12,1,5
119,0,29,16,0,2
98,1,31,16,1,2
105,0,19,9,1,4
1358,0,25,16,1,3
91,0,23,12,1,3
1325,1,23,15,1,4
147,0,18,9,0,4
441,0,21,11,1,2
735,0,28,12,1,3
735,0,21,12,0,5
29,1,27,14,0,2
7,0,27,12,0,3
203,0,29,12,1,5
182,0,21,12,0,5
1130,1,26,18,1,2
28,0,22,14,0,3
7,0,23,12,1,5
137,1,22,12,1,4
741,1,24,15,1,3
1022,0,31,16,1,2
111,1,23,12,0,2
658,0,20,12,1,3
273,0,22,12,1,2
378,0,24,14,0,5
805,0,21,12,1,3
133,0,28,14,1,2
1043,1,18,8,0,2
91,0,30,16,1,2
42,0,22,12,0,2
84,0,26,12,0,2
7,0,21,12,0,3
1363,1,23,16,0,2
14,0,21,12,1,4
371,0,27,14,1,3
1050,1,26,19,1,4
35,0,23,12,1,2
161,0,22,12,0,4
14,0,21,10,1,6
784,0,19,9,0,4
70,0,22,13,0,5
154,0,21,12,1,5
385,0,25,12,0,3
357,0,20,10,1,6
135,1,23,12,1,5
284,1,30,13,0,2
42,0,20,12,0,4
91,0,23,16,0,4
42,0,23,8,1,4
25,1,34,16,1,2
798,1,24,16,1,2
462,0,24,16,0,4
847,1,20,12,0,3
147,0,22,12,1,2
405,1,26,13,0,4
1050,1,21,12,1,3
794,1,24,12,1,4
35,0,29,10,0,2
637,0,24,16,0,1
84,0,18,9,1,4
626,1,20,12,1,5
77,0,27,14,0,2
68,1,28,15,1,3
56,0,22,12,0,5
42,0,21,11,1,3
63,0,29,9,0,2
665,0,21,12,1,6
280,0,28,18,1,2
126,0,20,12,0,4
76,1,25,12,0,2
448,0,21,14,0,3
196,0,21,12,1,4
602,0,22,15,0,2
686,0,27,14,1,3
7,0,19,12,1,3
520,1,26,15,0,6
791,0,20,12,1,4
42,0,25,12,1,2
231,0,22,16,1,2
84,0,21,12,0,3
392,0,28,12,1,2
745,1,20,12,1,3
273,0,24,16,0,2
982,1,21,11,0,2
21,0,25,12,1,5
112,0,20,12,1,3
117,1,31,12,1,2
175,0,20,12,0,6
315,0,31,9,0,2
721,0,30,18,0,4
1414,1,23,16,1,5
147,0,21,12,1,3
21,0,20,12,0,4
1124,1,20,12,1,6
1008,0,33,16,0,3
21,0,18,10,1,3
259,0,23,12,0,3
42,0,20,12,1,4
343,0,32,14,1,3
555,1,25,12,0,2
686,0,19,12,1,3
70,0,20,12,0,3
7,0,20,12,1,4
210,1,28,13,0,2
441,0,20,11,0,4
694,1,21,13,0,4
28,0,20,12,1,4
119,0,17,8,0,2
217,0,22,9,0,4
196,0,19,12,0,3
1149,1,19,12,1,4
642,1,21,12,1,3
24,1,23,13,1,4
154,0,19,12,0,4
273,0,18,12,1,3
791,0,22,11,1,5
410,1,22,12,0,3
771,1,21,12,1,6
25,1,24,12,1,3
91,0,19,9,0,3
98,0,23,12,0,2
182,0,18,12,1,6
112,0,19,12,1,6
154,0,24,12,0,4
406,0,21,11,0,3
168,0,21,14,1,6
203,0,17,10,1,2
77,0,23,12,1,5
413,0,26,12,0,3
21,0,22,12,1,2
98,0,25,11,0,4
292,1,21,12,1,6
1407,0,27,19,1,2
91,0,20,12,1,3
8,1,30,14,1,2
441,0,21,12,1,6
938,0,29,12,0,2
168,0,16,8,1,2
49,0,30,20,1,3
1386,1,27,20,1,2
189,1,24,13,0,5
84,0,21,11,0,6
126,1,24,12,1,4
238,1,21,12,1,4
35,0,20,12,0,2
476,0,26,15,0,2
709,1,19,8,1,4
504,0,23,15,1,3
98,0,18,11,0,3
28,0,22,12,0,3
7,0,26,14,1,2
14,0,21,12,1,6
1382,1,19,12,0,2
882,0,19,12,0,3
70,0,20,10,0,6
70,0,20,10,0,4
42,0,20,12,1,4
77,0,27,13,1,2
1141,1,19,12,1,5
98,0,20,10,0,3
553,1,19,12,1,3
742,0,27,12,1,2
203,0,19,10,0,3
49,0,18,12,1,5
182,0,22,12,0,3
70,0,31,12,0,1
77,0,22,12,1,6
350,0,20,12,1,2
245,0,22,11,0,3
350,0,22,13,1,6
21,0,24,11,0,6
35,0,19,12,1,5
147,0,20,12,1,4
6,1,26,12,0,2
21,0,24,16,1,2
224,1,22,12,0,4
289,1,22,10,1,5
42,0,22,12,0,4
931,0,30,14,1,2
696,1,23,14,1,4
21,0,32,12,1,2
70,0,22,11,1,3
105,0,20,12,1,3
413,0,20,11,1,3
70,0,24,16,1,3
459,1,21,12,1,5
14,0,18,6,0,3
721,0,20,12,1,4
1243,1,19,12,0,2
511,0,19,12,1,4
574,0,27,10,1,4
14,0,29,12,0,4
834,1,20,12,1,4
7,0,25,12,0,3
28,0,21,12,1,3
462,0,20,12,0,3
619,1,22,12,1,3
217,0,21,10,0,5
1230,1,19,10,0,2
83,1,27,15,0,2
210,0,19,12,1,4
77,0,30,16,0,3
110,1,21,10,1,5
364,1,31,18,1,2
441,0,20,12,1,6
35,0,21,12,1,4
133,0,19,12,0,4
47,1,22,12,1,2
126,0,27,12,1,3
42,0,21,10,0,5
623,0,17,11,0,5
44,1,33,14,0,3
378,0,21,12,1,5
658,1,27,11,1,4
91,0,20,12,0,2
168,0,24,13,1,3
7,0,19,9,1,5
259,0,21,12,0,4
1071,0,20,12,1,4
112,0,19,12,1,2
364,0,27,16,0,3
161,0,25,13,1,3
28,0,19,12,1,3
28,0,19,12,1,3
91,0,19,12,1,3
912,1,28,14,0,3
49,0,19,12,1,3
126,0,20,12,1,3
90,1,25,13,1,4
35,0,20,12,1,3
70,0,22,10,0,6
532,0,20,12,1,5
336,0,21,11,0,2
551,1,22,10,0,4
518,0,19,12,0,2
86,1,25,12,0,2
247,1,27,13,0,2
189,0,19,10,0,3
91,0,18,11,0,3
7,1,33,14,1,2
28,0,22,12,1,5
42,0,27,12,0,4
360,1,26,16,1,3
273,0,20,12,1,3
407,1,21,12,1,5
429,1,27,15,1,5
14,0,22,12,0,2
56,0,21,10,1,3
896,0,22,15,1,4
7,0,21,9,1,4
56,0,20,9,1,4
380,1,26,16,1,2
35,0,21,12,0,5
77,0,26,19,1,2
42,0,20,12,0,4
161,0,20,12,0,4
147,0,21,12,0,3
321,1,22,12,1,4
159,1,24,11,0,3
399,0,22,12,0,3
42,0,19,11,1,3
119,0,17,9,0,4
126,0,20,12,1,3
21,0,31,11,0,2
16,1,28,12,0,4
350,0,19,12,1,3
35,0,22,13,1,3
280,0,28,16,1,5
98,0,24,16,1,2
98,0,20,11,1,3
840,0,18,11,0,3
277,1,21,10,1,4
322,0,21,12,0,2
119,0,18,11,1,3
161,0,21,12,1,3
91,0,20,12,0,3
231,0,26,13,0,3
70,0,28,13,1,2
21,0,20,11,1,4
156,1,27,12,1,2
630,0,20,11,1,4
41,1,21,11,0,6
112,0,20,10,0,3
56,0,19,9,1,3
43,1,23,12,0,5
8,1,24,12,0,4
878,1,25,12,1,4
98,0,19,12,1,3
490,0,29,9,1,2
1148,1,20,12,0,2
97,1,20,9,0,6
36,1,24,11,1,3
42,0,20,10,1,2
266,0,21,12,1,5
350,0,21,12,1,2
330,1,22,12,1,5
77,0,21,12,1,6
371,1,21,12,0,5
14,0,30,12,0,2
42,0,18,10,1,3
224,0,24,14,0,3
766,1,26,16,1,4
694,1,21,12,0,4
290,1,22,12,1,6
14,0,18,10,0,2
644,0,19,9,0,4
461,1,25,14,0,5
98,0,27,11,1,4
154,0,30,14,0,4
567,1,25,15,0,2
815,1,21,12,1,2
140,0,21,12,0,3
21,0,32,12,1,2
497,0,20,12,0,3
185,1,21,12,0,6
175,0,24,15,1,3
448,0,31,15,1,3
28,0,22,12,0,3
406,0,22,14,1,3
712,1,26,14,0,2
84,1,23,12,0,2
7,0,20,11,1,4
126,0,21,12,1,4
189,0,29,15,1,2
147,0,23,16,1,4
1027,1,27,17,1,2
952,0,25,16,1,3
870,1,29,17,1,3
63,0,22,12,0,3
1093,1,24,16,1,2
98,0,22,12,1,3
1309,1,26,16,1,4
49,0,22,12,0,2
616,0,19,12,1,6
406,0,19,10,1,6
133,0,22,10,1,5
1211,0,26,15,1,5
126,0,25,15,0,5
350,0,21,12,0,6
126,0,30,12,0,4
8,1,25,13,1,2
28,0,19,12,0,2
980,0,28,16,1,4
897,1,25,15,0,4
72,1,22,12,1,6
892,1,27,13,0,4
49,0,19,9,1,5
77,0,20,12,0,4
1305,1,24,16,1,4
805,0,22,16,1,2
364,0,23,12,0,5
56,0,20,11,1,2
1276,1,25,16,1,3
1141,1,20,12,1,3
7,0,20,12,1,3
1034,1,21,12,0,5
84,0,19,12,1,3
49,0,21,11,1,3
752,1,23,12,0,3
28,1,23,12,0,4
133,0,17,8,1,2
35,0,20,12,0,3
124,1,29,12,1,3
77,0,25,13,1,3
70,0,20,10,1,2
28,0,20,12,0,6
182,0,23,14,0,3
1358,0,21,13,1,4
273,0,21,13,1,2
12,1,22,9,0,5
196,0,23,11,0,3
